id,name,slug,short_description,full_description,benefits,side_effects,dosage,scientific_notes,featured_image,meta_title,meta_description,is_featured,created_at,updated_at,deleted_at
,Ashwagandha,ashwagandha,"An adaptogenic herb used to support calm, resilience, and balanced stress response.","Ashwagandha is a traditional adaptogen commonly used in wellness formulas for stress support, relaxation, sleep quality, and daily balance. It is often paired with magnesium or L-theanine in calm-focused routines.","Stress resilience; Calm mood support; Sleep quality support; General wellness balance","May cause digestive discomfort in sensitive users; Avoid during pregnancy unless advised by a clinician","Common supplemental ranges are 300-600 mg daily depending on extract strength.","Look for standardized extracts and review with a healthcare professional when using thyroid or sedative medications.",,"Ashwagandha Benefits, Dosage and Safety | Suppriva","Learn about ashwagandha benefits, dosage ranges, side effects, and how this adaptogen is used in premium wellness supplements.",true,,,
,Berberine,berberine,"A plant compound often used for metabolic wellness and healthy blood sugar support.","Berberine is a bioactive alkaloid found in several plants and is commonly discussed for metabolic health, glucose metabolism, and cardiometabolic wellness routines.","Metabolic wellness; Healthy glucose metabolism support; Lipid profile support; Weight management routines","May cause gastrointestinal discomfort; Can interact with glucose-lowering medications","Common ranges are 500 mg one to three times daily with meals.","Berberine has meaningful interaction potential, so users on medication should seek medical guidance before use.",,"Berberine Guide: Benefits, Dosage and Safety | Suppriva","Review berberine uses for metabolic wellness, typical dosage ranges, safety notes, and supplement selection tips.",true,,,
,Creatine Monohydrate,creatine-monohydrate,"A well-studied performance ingredient for strength, power, and muscle energy support.","Creatine monohydrate supports phosphocreatine stores in muscle and is widely used in fitness, strength, and performance routines. It is one of the most researched sports nutrition ingredients.","Strength support; Power output support; Muscle energy support; Training recovery support","May cause temporary water weight increase; Digestive discomfort can occur with high single doses","A common maintenance dose is 3-5 g daily.","Creatine monohydrate is the reference form with strong research history and broad supplement availability.",,"Creatine Monohydrate Benefits and Dosage | Suppriva","Understand creatine monohydrate benefits, common dosage, performance uses, and practical safety considerations.",false,,,
,Magnesium Glycinate,magnesium-glycinate,"A gentle magnesium form often used for relaxation, sleep, and muscle function support.","Magnesium glycinate combines magnesium with glycine and is popular for users seeking a gentle, well-tolerated magnesium option for evening routines and general mineral support.","Relaxation support; Sleep routine support; Muscle function; Nervous system support","High intakes may cause loose stools; Users with kidney disease should consult a clinician","Typical supplemental elemental magnesium ranges from 100-300 mg daily.","Check the elemental magnesium amount rather than only the compound weight on the supplement label.",,"Magnesium Glycinate Benefits and Dosage | Suppriva","Explore magnesium glycinate benefits for sleep, calm, muscle function, dosage guidance, and safety notes.",true,,,
,Omega 3,omega-3,"Essential fatty acids commonly used for heart, brain, and inflammation-supportive wellness routines.","Omega 3 fatty acids such as EPA and DHA are found in fish oil and algae oil supplements. They are widely used for cardiovascular wellness, cognitive support, and balanced inflammation response.","Heart health support; Brain health support; Joint comfort routines; Healthy triglyceride support","May cause fishy aftertaste; Can increase bleeding risk at high doses or with blood thinners","Common daily EPA plus DHA ranges vary from 250-1000 mg depending on wellness goals.","Choose products that clearly list EPA and DHA amounts and use third-party purity testing where possible.",,"Omega 3 Benefits, EPA DHA and Dosage | Suppriva","Compare omega 3 benefits, EPA and DHA labels, dosage ranges, and quality tips for fish oil or algae oil supplements.",false,,,
,L-Theanine,l-theanine,"An amino acid from tea often used for calm focus without heavy sedation.","L-theanine is commonly used in focus, stress, and sleep-support formulas. It is often paired with caffeine for smoother alertness or with magnesium for evening calm.","Calm focus; Relaxation support; Stress routine support; Smooth caffeine pairing","Generally well tolerated; May increase drowsiness when paired with sedatives","Common supplemental ranges are 100-200 mg as needed.","L-theanine is popular because it can support a calm state while preserving mental clarity for many users.",,"L-Theanine Benefits for Calm Focus | Suppriva","Learn how L-theanine supports calm focus, caffeine balance, relaxation routines, dosage, and safety considerations.",false,,,
,Curcumin,curcumin,"The active compound in turmeric, often used for antioxidant and joint comfort support.","Curcumin is a turmeric-derived polyphenol commonly included in formulas for antioxidant support, joint comfort, and healthy inflammation response.","Antioxidant support; Joint comfort routines; Healthy inflammation response; Mobility support","May cause stomach upset; Can interact with blood thinners or gallbladder conditions","Common extract doses range from 500-1000 mg daily depending on formulation.","Bioavailability-enhanced curcumin forms may improve absorption compared with plain turmeric powder.",,"Curcumin Benefits, Absorption and Safety | Suppriva","Review curcumin benefits, turmeric extract quality, absorption technology, dosage ranges, and safety notes.",false,,,
,CoQ10,coq10,"A coenzyme involved in cellular energy, commonly used for heart and vitality support.","CoQ10 is naturally involved in mitochondrial energy production and is frequently used in heart health and energy-support supplement routines.","Cellular energy support; Heart wellness; Antioxidant support; Vitality routines","May cause mild digestive upset; Can interact with anticoagulant medications","Common supplemental ranges are 100-200 mg daily with a meal containing fat.","Ubiquinol and ubiquinone are common forms; taking CoQ10 with food can support absorption.",,"CoQ10 Benefits for Energy and Heart Health | Suppriva","Understand CoQ10 benefits, common forms, dosage ranges, heart health uses, and supplement quality tips.",false,,,
,Rhodiola Rosea,rhodiola-rosea,"An adaptogenic herb often used for energy, stress resilience, and mental stamina.","Rhodiola rosea is an adaptogen used in formulas designed for fatigue support, daily resilience, and cognitive performance under stress.","Stress resilience; Mental stamina; Energy support; Fatigue management routines","May feel stimulating for some users; Avoid late-day use if sensitive","Common extract ranges are 200-400 mg daily, often standardized for rosavins and salidroside.","Rhodiola may be best suited earlier in the day because some users find it energizing.",,"Rhodiola Rosea Benefits and Dosage | Suppriva","Explore Rhodiola rosea benefits for energy, stress resilience, fatigue routines, dosage, and safety notes.",false,,,
,5-HTP,5-htp,"A serotonin precursor used in some mood and sleep-support supplement routines.","5-HTP is a compound involved in serotonin production and appears in some mood, appetite, and sleep-support formulas. It requires careful review because of medication interactions.","Sleep routine support; Mood wellness routines; Appetite support; Relaxation support","Can cause nausea or drowsiness; Avoid with SSRIs, MAOIs, or other serotonergic medications unless medically supervised","Common supplemental ranges vary, often starting around 50-100 mg.","Because 5-HTP affects serotonin pathways, interaction screening is especially important before use.",,"5-HTP Benefits, Dosage and Safety | Suppriva","Learn about 5-HTP uses for mood and sleep routines, dosage considerations, side effects, and important interaction warnings.",false,,,
